Article: features_windows7
Metric: ROUGE-1
features_windows7 ROUGE-1,1,2,3,4
1,1.0,0.2,0.2,0.143
2,0.2,1.0,1.0,0.143
3,0.2,1.0,1.0,0.143
4,0.143,0.143,0.143,1.0
