Article: food_swissotel_chicago
Metric: ROUGE-2
food_swissotel_chicago ROUGE-2,1,2,3,4,5
1,1.0,0.267,0.111,0.0,0.167
2,0.267,1.0,0.154,0.0,0.286
3,0.111,0.154,1.0,0.182,0.2
4,0.0,0.0,0.182,1.0,0.0
5,0.167,0.286,0.2,0.0,1.0
