Article: eyesight-issues_amazon_kindle
Metric: ROUGE-2
eyesight-issues_amazon_kindle ROUGE-2,1,2,3,4,5
1,1.0,1.0,0.0,0.0,0.0
2,1.0,1.0,0.0,0.0,0.0
3,0.0,0.0,1.0,0.0,0.0
4,0.0,0.0,0.0,1.0,0.133
5,0.0,0.0,0.0,0.133,1.0
