Article: performance_netbook_1005ha
Metric: ROUGE-1
performance_netbook_1005ha ROUGE-1,1,2,3,4,5
1,1.0,0.286,0.556,0.636,0.2
2,0.286,1.0,0.353,0.286,0.211
3,0.556,0.353,1.0,0.444,0.125
4,0.636,0.286,0.444,1.0,0.3
5,0.2,0.211,0.125,0.3,1.0
