Article: comfort_toyota_camry_2007
Metric: ROUGE-2
comfort_toyota_camry_2007 ROUGE-2,1,2,3,4,5
1,1.0,0.0,0.0,0.0,0.133
2,0.0,1.0,1.0,0.0,0.0
3,0.0,1.0,1.0,0.0,0.0
4,0.0,0.0,0.0,1.0,0.0
5,0.133,0.0,0.0,0.0,1.0
