Article: keyboard_netbook_1005ha
Metric: ROUGE-1
keyboard_netbook_1005ha ROUGE-1,1,2,3,4,5
1,1.0,0.421,0.4,0.2,0.2
2,0.421,1.0,0.235,0.222,0.222
3,0.4,0.235,1.0,0.222,0.222
4,0.2,0.222,0.222,1.0,1.0
5,0.2,0.222,0.222,1.0,1.0
