Article: rooms_bestwestern_hotel_sfo
Metric: ROUGE-2
rooms_bestwestern_hotel_sfo ROUGE-2,1,2,3,4,5
1,1.0,0.4,0.0,0.286,0.0
2,0.4,1.0,0.286,0.25,0.0
3,0.0,0.286,1.0,0.0,0.0
4,0.286,0.25,0.0,1.0,0.0
5,0.0,0.0,0.0,0.0,1.0
