Article: price_holiday_inn_london
Metric: ROUGE-2
price_holiday_inn_london ROUGE-2,1,2,3,4,5
1,1.0,1.0,0.125,0.0,0.0
2,1.0,1.0,0.125,0.0,0.0
3,0.125,0.125,1.0,0.143,0.0
4,0.0,0.0,0.143,1.0,0.0
5,0.0,0.0,0.0,0.0,1.0
