Article: free_bestwestern_hotel_sfo
Metric: ROUGE-2
free_bestwestern_hotel_sfo ROUGE-2,1,2,3,4,5
1,1.0,0.077,0.0,0.0,0.125
2,0.077,1.0,0.1,0.1,0.167
3,0.0,0.1,1.0,1.0,0.154
4,0.0,0.1,1.0,1.0,0.154
5,0.125,0.167,0.154,0.154,1.0
