Article: battery-life_amazon_kindle
Metric: ROUGE-2
battery-life_amazon_kindle ROUGE-2,1,2,3,4,5
1,1.0,1.0,0.0,0.125,0.143
2,1.0,1.0,0.0,0.125,0.143
3,0.0,0.0,1.0,0.0,0.0
4,0.125,0.125,0.0,1.0,0.778
5,0.143,0.143,0.0,0.778,1.0
